date,total_revenue,new_customer_revenue,repeat_customer_revenue,new_revenue_share,repeat_revenue_share,Meta_Spend,Google_Spend,Other_Spend,total_media_spend,MER,Promos,BFCM_promo,Price_Hike,revenue_change,revenue_robust_z,anomaly
2024-08-04,742902.45,346681.09,396221.36,0.4666576210645153,0.5333423789354848,95191.700005,55959.845949999995,35246.95,186398.49595500002,3.9855603243673707,0,0,0,,,Normal
2024-08-11,797136.14,365643.18,431492.96,0.45869602650307634,0.5413039734969236,102692.620015,61318.300670000004,37014.29,201025.21068499997,3.9653540831208813,0,0,0,54233.69000000006,,Normal
2024-08-18,815384.22,391852.09,423532.13,0.4805735509573634,0.5194264490426367,134761.129996,56920.05666999999,36834.31,228515.49666600005,3.5681791033707078,0,0,0,18248.079999999958,,Normal
2024-08-25,1205565.69,484565.51,721000.18,0.4019403621216195,0.5980596378783807,161926.06001000002,56531.04987,30334.01,248791.11988000004,4.845694213609726,1,0,0,390181.47,,Normal
2024-09-01,1271611.65,524193.23,747418.42,0.4122274516752029,0.5877725483247972,133772.915584,51374.66315,27614.600801,212762.17953499997,5.976680878054346,1,0,0,66045.95999999996,1.5733064470232219,Normal
2024-09-08,616464.55,285216.17,331248.38,0.4626643494747589,0.537335650525241,72646.850018,41849.051309999995,27558.906359,142054.807687,4.339624684567541,0,0,0,-655147.0999999999,0.0,Normal
2024-09-15,516236.91,244432.86,271804.05,0.4734897006880039,0.5265102993119961,48172.160001000004,40740.40799,27636.69991,116549.267901,4.429344939673968,0,0,0,-100227.64000000007,0.0,Normal
2024-09-22,428624.78,192548.67,236076.11,0.4492243075633658,0.5507756924366342,21649.970006,34663.99933,27430.220512,83744.189848,5.118262900124487,0,0,0,-87612.12999999995,-0.621755351171833,Normal
2024-09-29,452994.64,187270.26,265724.38,0.41340502395348433,0.5865949760465157,37021.720002,36923.14796,24939.641787,98884.509749,4.581047538687737,1,0,0,24369.859999999986,0.22784236996869892,Normal
2024-10-06,446319.22,199743.81,246575.41,0.44753575703058457,0.5524642429694155,32872.050014,30077.573660000002,24046.521407,86996.145081,5.130333299072539,1,0,0,-6675.420000000042,0.2036265904091543,Normal
2024-10-13,426557.44,185027.64,241529.8,0.43376957626152296,0.566230423738477,35366.090005000005,34206.741140000006,24911.888834999998,94484.71998000001,4.5145653190303285,1,0,0,-19761.77999999997,-0.05721907429915552,Normal
2024-10-20,441736.71,191195.87,250540.84,0.4328276678657746,0.5671723321342254,36040.560002,33852.29977,22019.682361,91912.54213300001,4.80605475323264,0,0,0,15179.270000000019,0.5180918730498988,Normal
2024-10-27,388102.33,182243.42,205858.91,0.46957569154506235,0.5304243084549376,90175.21001000001,27739.9478,20724.529919,138639.68772900003,2.7993595222071357,0,0,0,-53634.380000000005,-1.1059926418448396,Normal
2024-11-03,403105.23,165241.6,237863.63,0.40992174673595777,0.5900782532640423,27587.920012000002,28220.907659999997,21491.674922000002,77300.502594,5.214781488772476,0,0,0,15002.899999999965,-0.6745,Normal
2024-11-10,364607.21,153898.06,210709.15,0.4220927501680507,0.5779072498319492,24310.390005,27210.60728,22778.087282,74299.084567,4.907290744224602,0,0,0,-38498.01999999996,-1.0866027983017081,Normal
2024-11-17,415920.93,173734.04,242186.89,0.41770929873618046,0.5822907012638195,24420.600003,32359.6994,29872.467419,86652.766822,4.799857468537325,0,0,0,51313.71999999997,-0.22575984039829144,Normal
2024-11-24,2628220.19,930143.53,1698076.66,0.35390624177497093,0.646093758225029,286370.63002,142820.0793,55502.63,484693.3393199999,5.422439255483186,1,1,0,2212299.26,8.937602048658375,Anomaly
2024-12-01,2264382.67,879384.51,1384998.16,0.38835507869347896,0.611644921306521,229234.85001,115095.49751,42247.26,386577.60751999996,5.857511211077713,1,1,0,-363837.52,7.467712769695826,Anomaly
2024-12-08,1122335.22,545372.89,576962.33,0.48592691406405303,0.514073085935947,53151.619991,98282.98284999999,38307.27,189741.872841,5.915063465935614,1,0,0,-1142047.45,2.853885963649218,Normal
2024-12-15,614972.26,363855.48,251116.78,0.5916616141352457,0.4083383858647543,26399.410004999998,23283.322366,23099.679391,72782.41176200002,8.449462515902495,0,0,0,-507362.95999999996,0.8041595488289295,Normal
2024-12-22,248963.86,126279.49,122684.37,0.5072201644045847,0.4927798355954153,21040.550014,15566.679662999999,10640.104329999998,47247.334007,5.2693737166866255,0,0,0,-366008.4,-0.6745,Normal
2024-12-29,299810.91,136258.66,163552.25,0.4544819933337316,0.5455180066662685,16547.180026,14321.984209,12131.677794,43000.842029,6.972210213879205,0,0,0,50847.04999999999,-0.6065382532251423,Normal
2025-01-05,291250.0,137611.47,153638.53,0.4724857339055794,0.5275142660944206,21268.71,15955.744922000002,11114.55,48339.004922,6.025155057907421,1,0,0,-8560.909999999974,-0.7500767636350973,Normal
2025-01-12,376214.47,171781.07,204433.4,0.45660410137866314,0.543395898621337,23332.680022,21834.04711,11710.9,56877.627131999994,6.614454381630444,1,0,0,84964.46999999997,0.0,Normal
2025-01-19,364420.97,153894.05,210526.92,0.4222974599952357,0.5777025400047644,25047.430014,22222.042559999998,11045.85,58315.322574,6.249146089135719,0,0,0,-11793.5,-0.20465939651750134,Normal
2025-01-26,384756.77,167936.6,216820.17,0.4364747110232784,0.5635252889767216,23443.62001,26045.486660000002,12086.3,61575.406670000004,6.248546145411921,0,0,0,20335.800000000047,0.0,Normal
2025-02-02,415082.54,217825.97,197256.57,0.5247774816064295,0.4752225183935706,30639.210001,28530.988552,12575.880000000001,71746.078553,5.785438707892191,1,0,0,30325.76999999996,0.23219903543640838,Normal
2025-02-09,467259.35,213734.57,253524.78,0.4574217080942308,0.5425782919057692,33146.340001000004,30559.223915,17137.35,80842.91391599999,5.779842998800202,1,0,0,52176.81,0.6946736618111122,Normal
2025-02-16,402108.48,192771.93,209336.55,0.47940279697657706,0.5205972030234229,34039.130011,29637.223167999997,24013.59,87689.94317900001,4.585571223135391,0,0,0,-65150.869999999995,-0.5326410618310363,Normal
2025-02-23,547024.14,250307.7,296716.44,0.45758072029508606,0.5424192797049139,38549.170001000006,36133.3784,30649.059999999998,105331.608401,5.193352197922069,1,0,0,144915.66000000003,0.0,Normal
2025-03-02,650346.04,304130.46,346215.58,0.46764405607820725,0.5323559439217928,40810.130012,38587.961240000004,24694.120000000003,104092.21125200001,6.247787727609682,1,0,0,103321.90000000002,0.0,Normal
2025-03-09,1061295.1,459172.29,602122.81,0.4326527937422871,0.5673472062577128,44571.920001,36599.731905,33515.28,114686.93190600001,9.25384507512906,1,0,0,410949.06000000006,1.4746700242385578,Normal
2025-03-16,1044805.55,405704.74,639100.81,0.3883064556845051,0.6116935443154949,48243.360001999994,37294.322185,36057.84,121595.52218700001,8.59246731465332,1,0,0,-16489.550000000047,2.672409086935148,Normal
2025-03-23,734663.15,361303.37,373359.78,0.4917946000149864,0.5082053999850136,44125.410001000004,39700.564572,33946.65,117772.62457300002,6.237978924759611,1,0,0,-310142.4,0.0,Normal
2025-03-30,708424.01,360354.83,348069.18,0.5086711135044675,0.4913288864955325,65089.21,30182.114292,33782.05,129053.37429200001,5.489387735008763,0,0,0,-26239.140000000014,-0.36908143572984975,Normal
2025-04-06,729841.16,348264.09,381577.07,0.4771779245774519,0.5228220754225481,78871.459998,30727.691356000003,31427.890000000003,141027.04135400002,5.175185928831792,1,0,0,21417.150000000023,-0.8528190443800981,Normal
2025-04-13,778197.72,376087.57,402110.15,0.48328022600734427,0.5167197739926558,84637.04000000001,38057.93658,24763.49,147458.46658000004,5.277402770072938,1,0,0,48356.55999999994,-0.6745,Normal
2025-04-20,905709.87,397579.7,508130.17,0.4389702631815197,0.5610297368184802,80436.889998,37452.505126000004,31781.559999999998,149670.955124,6.05134021660805,1,0,0,127512.15000000002,0.0,Normal
2025-04-27,941534.53,453474.89,488059.64,0.48163383875044924,0.5183661612495508,93071.57001000001,44489.575259,31524.839999999997,169085.98526900003,5.568377110037278,1,0,0,35824.66000000003,0.0,Normal
2025-05-04,976186.93,466129.15,510057.78,0.47749988826422823,0.5225001117357717,94085.60000800001,46207.690179,28944.100000000002,169237.39018700004,5.768151641439019,1,0,0,34652.40000000002,0.10323241882299834,Normal
2025-05-11,960825.34,443880.88,516944.46,0.46197874006944906,0.5380212599305509,97894.57,49132.964611999996,28941.06,175968.59461200002,5.460209204480839,1,0,0,-15361.590000000084,-0.14701794392388173,Normal
2025-05-18,1588352.52,636967.41,951385.11,0.40102395531188506,0.5989760446881149,208211.38,57419.92768,41358.98255,306990.2902299999,5.173950351361249,1,0,0,627527.18,5.036020412473338,Anomaly
